,alpha,betaMarket,betaValue,p_alpha,p_betaMarket,p_betaValue
Asset1,-0.6034148661347745,1.3784051378724613,1.2734589429070884,0.0009151421452537886,1.1015168656103595e-149,6.55804766091031e-48
Asset2,-0.04731710858579661,1.1003193172647727,0.9398563725317137,0.700791190831334,7.434477034906245e-182,6.362826117847971e-55
Asset3,0.06026494500873923,1.0860749749277518,1.0325355567933525,0.6372739019532357,1.7930100927539533e-171,3.214031831370591e-60
Asset4,0.10806373391340368,1.0411643582879382,0.9754969590905667,0.38318832596753905,3.2215004843644975e-169,9.013859462501822e-58
Asset5,0.11220885447991999,1.0437917098112075,0.9052008386992323,0.3530699212701842,6.91046601484504e-175,2.678049216831408e-53
Asset6,0.08871302786157247,1.0629088602405483,0.8535070776987752,0.484689297603633,1.7219917778835672e-168,1.5283314689501143e-44
Asset7,0.1990982227648247,1.0928466793661604,0.8958158449048088,0.13716753809621632,1.865647276984079e-163,3.35528747577317e-44
Asset8,0.04186305199102114,1.1578371598594286,0.8932188915329228,0.7664608642280132,1.1876416624524022e-164,2.554329190087197e-40
Asset9,0.012868146031897981,1.2190701796928929,0.8288330271498552,0.9309906003934963,2.172707564977267e-164,1.940689846753773e-32
Asset10,-0.23266991705935441,1.2778001272455533,0.8896206942410784,0.17867312972989713,2.1542856388236386e-144,3.1276774014970395e-28
Asset11,-0.6453076482596314,1.527018837743232,1.1193694709060695,0.00023007359668224476,1.0926355018274815e-177,3.208864671877893e-41
Asset12,-0.23484476442477176,1.2394195475167336,0.8964247892773758,0.06196716950569005,3.503636357499587e-203,3.792554297042872e-49
Asset13,0.015005170351032202,1.1518951658316476,0.9036699376822057,0.9046142447137107,5.254776296640079e-188,4.2409432200144685e-50
Asset14,-0.05159979745029021,1.1747377665978656,0.8513136093294684,0.6840062175457806,1.4573678274324287e-189,1.915806705166695e-44
Asset15,0.016044289979616655,1.1289064904189403,0.7481785688582963,0.8896871193196918,7.753537035406834e-201,9.916287803557492e-42
Asset16,-0.1450332950559665,1.1302709432663085,0.7602922859288019,0.2404051614465576,6.086019912428072e-187,2.1267055945833341e-38
Asset17,0.30672518810339666,1.1429676967282218,0.9307642668119235,0.3062265700638548,1.1756270022637814e-54,8.122109409735594e-12
Asset18,-0.17847546778554357,1.1532718387764906,0.6908784922218798,0.18725136921127805,3.685506043061198e-172,7.049282903609339e-28
Asset19,-0.1490100620678922,1.3195023657502016,0.6753056715035608,0.3168075912937206,3.0244750239470454e-180,1.029558570165161e-22
Asset20,-0.04361979948857092,1.4368692336916118,0.45415948697647035,0.8185282323017061,1.4864282198223918e-148,1.1968941588673444e-07
Asset21,-0.5471535741198239,1.5195231616270157,0.9905497084122252,0.00115114626453707,8.179779053386624e-185,8.690161210079816e-36
Asset22,-0.04760501040894638,1.261506884330554,0.8059218688722376,0.7056236258031795,1.7542975533128115e-206,6.078771762514709e-41
Asset23,-0.017532837054238665,1.1669752124786255,0.8072206291571817,0.8861592981938299,1.328059459977561e-195,4.439450069615934e-43
Asset24,-0.06015129043387327,1.181402352687297,0.7329859667449411,0.6001134086279026,7.572194278740656e-213,7.124958779912413e-41
Asset25,0.00893775529035487,1.0846369496104575,0.5862059976891193,0.9419805949285676,2.050173915833189e-179,8.55600478297035e-25
Asset26,0.08097911610245376,1.1125689444789142,0.6886056179882127,0.4876044705072231,8.224350758739955e-196,9.559074723475315e-36
Asset27,-0.03784006340714635,1.1490810932836943,0.6224503664006968,0.7591829666815437,1.4874851475323027e-190,2.8903828943704388e-27
Asset28,0.04397143595238007,1.1659611047377432,0.40721266905210685,0.7359299132374111,5.091137244051689e-182,6.2764702337430724e-12
Asset29,0.00015825424978602176,1.2456633859582524,0.5774048073244108,0.9990633872303263,6.032924983053155e-189,1.5283025170355723e-20
Asset30,0.007906826039012327,1.4152576343262058,0.5429279123254173,0.9595568619144726,3.774596412888033e-185,2.314865490545397e-14
Asset31,-0.6378258556206082,1.4613235947821006,0.6368033327779757,0.0003992021977933431,4.7465277071403217e-163,7.448829371228145e-15
Asset32,-0.08492151096121761,1.2400312462793832,0.7171819160695383,0.5001589273294784,8.15650230815559e-203,1.2895074001445701e-33
Asset33,-0.2322353524576928,1.1746189456870766,0.5817481094931674,0.044943139388473094,9.704619992044521e-210,3.7861848854111406e-27
Asset34,-0.06477666510238335,1.164571476728669,0.5901276021386527,0.5738956028639774,1.0188869550830596e-208,5.0491106201432e-28
Asset35,-0.039145918834360555,1.0875087161558756,0.5971855152193039,0.7257312597452927,1.5287913721533564e-200,3.256394757198149e-30
Asset36,-0.005042338736301194,1.029963802680839,0.5243542080598134,0.9634997357833954,1.956237664207628e-191,1.159753503755645e-24
Asset37,-0.1584607233952468,1.07037041185527,0.48472389338813854,0.18254094267450985,1.3826264115726849e-183,6.956807972990797e-19
Asset38,0.13219772526836615,1.1794006204128658,0.48150202764504096,0.3292971541145199,1.976546613885004e-176,7.041551245704624e-15
Asset39,0.029686995193513088,1.1773852047500108,0.2695882332711348,0.8312464692014635,2.3115763206078124e-170,1.6818783354111264e-05
Asset40,0.1929886383857914,1.2892333034483419,0.19802382904153534,0.2091769784407719,5.589154346714005e-169,0.00400500276192091
Asset41,-0.6368690115636149,1.5130184604053787,0.6817965080108476,0.00048147212030505356,1.97149692181833e-167,2.4035966855416857e-16
Asset42,-0.2820919883751509,1.243973249107088,0.677176450679878,0.02314768237896609,5.408854408378045e-207,2.742074311815384e-31
Asset43,-0.009528871925302551,1.120037958213643,0.4881109114800992,0.9339338301923762,1.7352462000928922e-200,3.07712709923346e-20
Asset44,0.005847511014435869,1.0995202937081556,0.5014333542917278,0.9582027866762199,5.480368971548621e-203,2.4809192590658598e-22
Asset45,0.0054880727640823634,1.0642574324633896,0.4613247211432436,0.9580858912335428,1.6278231470817703e-210,1.1191099268720682e-21
Asset46,0.12055677731507158,1.08120122533356,0.5438057739459042,0.27221139174406256,6.451101488069201e-203,1.89592913677806e-26
Asset47,0.005093682523724913,1.0498036387849936,0.33510636595885857,0.9629543857896976,1.3486521257000953e-196,1.7070380041977776e-11
Asset48,-0.007400588184701018,1.1451083414664562,0.3991742329213582,0.9499401202176516,8.04083443066005e-200,1.0829944806117624e-13
Asset49,0.18177400357542536,1.1702204128471891,0.14688840178005547,0.19708151695077633,6.236628414472958e-167,0.019789303542021394
Asset50,0.23754282565371543,1.3054000362926472,0.0396791485614979,0.08541943099402438,4.415416756858217e-194,0.5196995852158899
Asset51,-0.4138849704956904,1.4099506937711572,0.5238756382988151,0.039455087263107376,2.8736557172374256e-135,7.727454887898973e-09
Asset52,-0.2095693225885471,1.1110482954415855,0.45495617462496696,0.09112151478645972,1.4401133458502946e-182,9.833189954926607e-16
Asset53,-0.13138015054371396,1.073982666712849,0.5182258884376449,0.2461697053112556,1.3754931830642773e-194,4.77160143370081e-23
Asset54,-0.13851384673762288,1.0550069764377639,0.4344434888332046,0.16054316828960147,1.5528664319644672e-221,1.4564412474368249e-21
Asset55,-0.14090564875772574,1.0443674968460332,0.3016398645278174,0.144292612835996,2.033732988419478e-224,5.867758999194195e-12
Asset56,-0.0016741246435313384,1.0695868052284678,0.24742578060248524,0.9872265056664353,2.485500176051377e-211,1.5664595490444937e-07
Asset57,-0.019215755751616742,1.0676007788440902,0.2479651867896362,0.8599545311552474,8.212786250309508e-202,4.416827868417527e-07
Asset58,0.07466488984881609,1.145908366340556,0.16955164691296687,0.499275517691005,1.8296077784761095e-214,0.00062451178872207
Asset59,0.1061102425145162,1.1400030908077523,0.08690375404996387,0.3485663866356852,6.719362189903641e-208,0.08591437297656832
Asset60,-0.009321555102709156,1.2252886337592903,0.12264596906138177,0.945699047371695,3.0058008318042244e-182,0.04515296540596652
Asset61,-0.5467544317234573,1.4244450433127287,0.5243929722479006,0.006800249383649547,2.325236983025413e-136,8.565194586851074e-09
Asset62,-0.25423308522952803,1.136360530928978,0.3390519917291265,0.029109532023514222,4.48186246939639e-201,1.2879268909231633e-10
Asset63,0.011417407455142636,1.1781778340433435,0.4733950120009275,0.9180477565654457,7.520888799497063e-220,2.105371519732511e-20
Asset64,0.05657371729706406,1.076337198601529,0.3067674673658526,0.5582222966499455,4.896683663873241e-231,2.8820731914415587e-12
Asset65,-0.044883969300317794,1.0181597364357515,0.2961251392530825,0.6673364484058821,1.2247339692983584e-200,3.874020829081457e-10
Asset66,-0.06063513937186754,1.0552869497669048,0.18915107619486948,0.5434993485198065,6.431275150200981e-219,2.4859257561772014e-05
Asset67,0.009420994078373296,1.0845782495330225,0.166297210364707,0.9213110319320286,6.658704379128821e-236,0.00010345805050324038
Asset68,-0.00420682898701516,1.0596912642975358,0.004829589629463289,0.9651752494162542,5.137311511852435e-228,0.9106571369877626
Asset69,0.05440988494912419,1.1259182160659678,0.05343562335418132,0.6214558924705966,4.056295042093069e-211,0.27780188763733205
Asset70,0.09299548229269006,1.1862827086744914,-0.12475798192381958,0.4508725852847151,1.13445686987863e-197,0.023780822362895426
Asset71,-0.0643439647616279,1.2795393551389473,0.34538140077454943,0.7254667077648589,3.4582893835036096e-134,2.7503357227764595e-05
Asset72,-0.39647255501985545,1.1949218210011345,0.5115269914239513,0.0006273319532222431,5.338377661467892e-214,8.719461948628093e-22
Asset73,-0.2651204709809198,1.1207772859630483,0.39017233569388576,0.010739736614192766,5.395369972200962e-224,2.0367062124265124e-16
Asset74,-0.12189049125091211,1.045656873222179,0.22850281306771303,0.20290815865539277,1.461659966945253e-226,1.2038752500351257e-07
Asset75,-0.02020889517439564,1.0145837982775014,0.1049906209777785,0.822596726029873,1.7667109335649892e-233,0.009286723226965707
Asset76,0.019033372206032906,1.0192814632702536,0.2535109505346029,0.8356331868394866,2.0187601180614658e-230,1.0364104148345896e-09
Asset77,0.04389608013936058,1.0120174807177382,0.07936608352271063,0.6167353884131475,2.2115164054537366e-239,0.04307775030421499
Asset78,0.06082350650979915,1.062270344795787,-0.006810083875479697,0.5194366872975202,2.1117267807345746e-233,0.8717024236641607
Asset79,0.041697015627557565,1.1060082608362733,0.17734559191426005,0.6948547363415418,3.157208151133722e-215,0.0002018772399374458
Asset80,0.08076071555916875,1.1356399393944132,-0.13201302572593,0.4445022089860742,8.504674256959376e-223,0.005258859625166669
Asset81,-0.19371425762121863,1.288028816794435,0.1887637974676918,0.32875255936980496,7.782156667551067e-122,0.03335918391990132
Asset82,-0.05032379711756013,1.0786073978483721,0.36849199347812345,0.6529729347542268,4.384632222186385e-198,4.743005667441262e-13
Asset83,-0.2435733703313413,1.04498235553395,0.24968773085173165,0.01751603364681133,5.492323799912423e-211,6.462219087136677e-08
Asset84,-0.09136040702563075,0.9919284493559017,0.25392064936321646,0.3183151336759207,1.2930180977435597e-224,8.935162113739162e-10
Asset85,0.011178551752189653,0.9507678989530431,0.20193213263168353,0.8971732378706392,6.96572750876703e-228,2.269887064271241e-07
Asset86,-0.0918032114880154,0.9476437565651658,0.04018814784963666,0.2821853562174368,2.649903366041476e-230,0.2919086661941388
Asset87,-0.03711756640550007,0.9753294048531962,-0.07266480014587526,0.6446460208689961,3.20761984846493e-251,0.043538156427410504
Asset88,-0.032089476200126005,0.9636957272880607,-0.10643788924558281,0.6791971676481823,3.2741235220951244e-257,0.0022083242165454866
Asset89,0.03378845672647293,1.0144744919554434,-0.05582892779318044,0.7178957656807949,8.38698584880657e-225,0.18169918075785477
Asset90,0.010736166376709239,1.0104474655585438,-0.2087115563295397,0.9062434969751454,7.32709017513362e-230,3.812652651218037e-07
Asset91,-0.3630652816118566,1.1660132683381152,-0.03609093960639079,0.0934515954209908,1.1675133838084963e-93,0.7086569702592249
Asset92,-0.46875191113730336,1.026520537466755,0.04939785824760134,0.00029591896565740836,1.6311457158083875e-158,0.39113276846052414
Asset93,-0.4222706863134214,1.0197020117194755,0.07526025007128624,0.00016766220548179261,1.6999521326702138e-186,0.1315505308746659
Asset94,-0.13016200441445974,0.9323948241976495,0.04098276969518254,0.21853483532687712,4.25987674526976e-179,0.3856507098442038
Asset95,-0.029667098647870094,0.9551633731909612,-0.16597849115440758,0.76745451845703,2.04799805099611e-195,0.0002281612266834366
Asset96,-0.17106667340716847,0.9496943318774524,-0.045350666892530506,0.05327047095490294,1.3897037412253922e-222,0.250951393416598
Asset97,-0.20452905638074728,0.9294558894575085,-0.1404184934936629,0.0069408817995024906,7.8612292727586165e-255,3.55646301587071e-05
Asset98,0.030570198898465017,0.9165895690037349,-0.26039735835381356,0.6712554630401874,3.2360075969292424e-263,2.5381034845208113e-15
Asset99,0.11375618719411107,0.8971217766239172,-0.32062049802257686,0.12638013971662995,4.172129759531691e-250,8.785216301345163e-21
Asset100,-0.008117531504809705,0.8808509970783529,-0.2555307909616804,0.9201617186462239,2.0310206412247378e-225,3.89716351219545e-12
